date;open;high;low;close;volume
26.2.2019;53.01;53.37;52.91;53.23;16082213
27.2.2019;52.76;53.38;52.51;53.24;17590309
28.2.2019;52.92;53.18;52.81;52.96;18388820
1.3.2019;53.44;53.68;52.89;53.3;18359325
4.3.2019;53.75;54.1;53.205;53.94;21706135
5.3.2019;53.85;53.99;53.11;53.68;21057745
6.3.2019;53.63;53.65;52.94;52.95;14740525
7.3.2019;52.77;52.985;52.36;52.6;17803407
8.3.2019;51.97;52.56;51.7;52.48;16793891
11.3.2019;52.88;53.65;52.57;53.35;18962954
12.3.2019;53.34;53.96;53.175;53.57;20782077
13.3.2019;54;54.57;53.65;54.37;25522312
14.3.2019;54.3;54.45;53.33;53.44;26149624
15.3.2019;53.68;54.69;53.68;54.33;46485239
18.3.2019;54.42;54.505;53.87;54.1;16273986
19.3.2019;54.47;54.645;54;54.17;18274766
20.3.2019;54.06;54.4;53.61;53.82;24325283
21.3.2019;53.92;54.99;53.84;54.64;17309056
22.3.2019;54.4;54.615;53.21;53.26;21438435
25.3.2019;52.97;53.545;52.375;52.78;16971406
26.3.2019;53.32;53.77;53.04;53.44;17724346
27.3.2019;53.59;53.86;52.94;53.16;19655973
28.3.2019;53.25;53.44;52.77;53.11;13607888
29.3.2019;53.8;54.04;53.48;53.7;18736074
1.4.2019;54.34;54.57;54.1;54.51;17830437
2.4.2019;54.53;54.8;54.225;54.36;13704511
3.4.2019;55.03;55.99;54.89;55.48;24552838
4.4.2019;55.27;56.14;55.27;55.92;16520453
5.4.2019;55.75;55.95;54.87;55.6;19268396
8.4.2019;55.28;55.74;55.2;55.68;11758823
9.4.2019;55.35;55.43;54.9;55.32;13339677
10.4.2019;55.32;55.86;55.32;55.75;13084042
11.4.2019;55.76;56.07;55.63;55.8;10845819
12.4.2019;56.21;56.49;55.84;56.42;12319448
15.4.2019;56.46;56.555;55.92;56.28;11676910
16.4.2019;56.66;57.47;56.07;56.71;30301933
17.4.2019;58.44;59.59;58.12;58.56;38788448
18.4.2019;58.71;58.88;58.1238;58.49;20464197
22.4.2019;58.15;58.83;57.88;58.82;12327484
23.4.2019;58.89;58.98;58.5;58.78;17739929
24.4.2019;58.52;59.2899;58.14;58.72;17723745
25.4.2019;58.3;58.38;57.23;57.61;27949926
26.4.2019;52.74;53.09;51.52;52.43;72364512
29.4.2019;52.17;52.43;51;51.11;42142301
30.4.2019;51;51.43;50.87;51.04;27130855
1.5.2019;51.1;51.6;50.74;50.76;20467582
2.5.2019;50.8;51.325;50.12;50.55;22655397
3.5.2019;51.08;51.82;50.73;51.75;25656641
6.5.2019;50.25;51.28;50.19;51.22;26245240
7.5.2019;50.6;50.88;49.93;50.48;29713382
8.5.2019;50.2;50.79;49.07;49.24;36812429
9.5.2019;47.9;48.29;46.05;46.62;59642160
10.5.2019;46.44;46.8;45.1;46.2;42522778
13.5.2019;45.33;45.64;44.7;44.76;39091928
14.5.2019;45.18;45.485;44.87;45.17;24706458
15.5.2019;44.92;45.75;44.76;45.62;23407893
16.5.2019;45.47;45.95;45.42;45.53;19954653
17.5.2019;45.18;45.73;44.7637;44.89;22500360
20.5.2019;44;44.52;43.4538;43.56;28674965
21.5.2019;44.34;44.78;44.175;44.46;25543371
22.5.2019;44.15;44.46;43.845;44;16932520
23.5.2019;43.37;44.74;42.86;44.53;35783928
24.5.2019;44.59;45.05;44.49;44.57;27168066
28.5.2019;44.66;44.69;43.3;43.57;34779863
29.5.2019;43.35;44.53;43.3333;44.23;28450341
30.5.2019;44.3;45.03;44.23;44.73;21618859
31.5.2019;44.18;44.79;43.93;44.04;25532529
3.6.2019;44.25;44.585;43.2;43.46;31155678
4.6.2019;44.16;44.855;43.77;44.79;28094917
5.6.2019;45.11;45.18;44.19;44.55;20802012
6.6.2019;44.75;45.17;44.505;45.1;19076170
7.6.2019;45.25;46.12;45.1;46.03;24370253
10.6.2019;46.23;47.19;46.2;46.8;20806083
11.6.2019;47.26;47.32;46.52;46.85;18415495
12.6.2019;46.67;46.67;46.25;46.32;15900569
13.6.2019;46.6;46.955;46.53;46.7;12267633
14.6.2019;45.83;46.42;45.5459;46.19;15381077
17.6.2019;46.14;46.53;45.8;46.13;12643343
18.6.2019;46.75;48;46.6;47.37;25732293
19.6.2019;47.48;47.58;47;47.07;17436381
20.6.2019;47.87;48.05;46.87;47.19;20126780
21.6.2019;46.95;47.73;46.8;47.46;31096251
24.6.2019;47.4;47.8455;47.17;47.63;14479942
25.6.2019;47.56;47.68;46.8;46.85;16665577
26.6.2019;47.65;48.48;47.56;48.19;21886309
27.6.2019;48.15;48.42;47.24;47.46;23062947
28.6.2019;47.77;48.2;47.68;47.87;26646183
1.7.2019;49.29;49.45;47.745;48.05;27505447
2.7.2019;47.91;48.22;47.69;48.12;15384686
3.7.2019;48.18;48.56;47.995;48.52;10739100
5.7.2019;48.03;48.175;47.44;48.08;14339228
8.7.2019;47.62;47.95;47.07;47.82;16564291
9.7.2019;47.36;47.8;47.13;47.75;17853185
10.7.2019;47.92;48.61;47.9;48.21;16032269
11.7.2019;48.56;48.78;48.31;48.6;16615082
12.7.2019;49;49.93;48.81;49.92;20148730
15.7.2019;50;50.25;49.7693;50.12;14345082
16.7.2019;49.91;50;48.96;49.17;17131368
17.7.2019;49.5;49.7;49.24;49.39;11928605
18.7.2019;49.28;49.99;48.89;49.94;15679636
19.7.2019;49.96;50.66;49.91;50.27;29141087
22.7.2019;50.005;51.515;49.89;51.35;21686529
23.7.2019;52;52;51.3;51.75;18413520
24.7.2019;51.98;52.97;51.8;52.92;20896369
25.7.2019;52.51;52.6;51.88;52.16;27765432
26.7.2019;52.69;53.5;51.53;51.59;36401545
29.7.2019;51.53;52.5599;50.78;52.51;21897455
30.7.2019;51.71;52.31;51.56;51.7;16487692
31.7.2019;51.51;51.72;50.05;50.55;24169751
1.8.2019;50.52;51.89;49.47;49.5;34020779
2.8.2019;49.09;49.36;48.5;48.68;27881620
5.8.2019;47.76;47.9599;46.57;46.97;38936649
6.8.2019;47.15;47.56;46.765;46.96;26119563
7.8.2019;46.3;46.88;45.97;46.73;29440393
8.8.2019;46.16;47.365;45.91;47.17;30643740
9.8.2019;46.94;47;45.78;45.98;24975455
12.8.2019;45.76;46.07;45.44;45.6;18494298
13.8.2019;45.49;47.045;45.36;46.84;29374656
14.8.2019;46.06;46.625;45.65;45.87;25650218
15.8.2019;46.1;46.18;45.435;45.7;21992683
16.8.2019;46.34;46.68;46.06;46.5;23335693
19.8.2019;47.46;47.6;47.04;47.23;21404916
20.8.2019;47.03;47.12;46.46;46.6;23115324
21.8.2019;47.11;47.29;46.8901;47.15;15915801
22.8.2019;47.28;47.43;46.69;46.78;19785890
23.8.2019;46.35;46.63;44.8;44.96;32817083
26.8.2019;45.82;45.82;45.25;45.56;22086633
27.8.2019;45.87;46.12;45.5;45.79;16927568
28.8.2019;45.7;45.91;45.37;45.79;14895346
29.8.2019;46.46;47.22;46.4;46.87;17806113
30.8.2019;47.24;47.79;47.16;47.41;16923146
3.9.2019;47.12;47.22;46.495;46.98;15010268
4.9.2019;47.56;48.95;47.54;48.92;23472112
5.9.2019;49.925;51.17;49.87;50.1;30023117
6.9.2019;50.25;50.99;50.07;50.92;16957944
9.9.2019;51.06;52.03;51.02;51.59;20749659
10.9.2019;51.33;51.84;50.825;51.82;18532029
11.9.2019;51.6;52.79;51.38;52.79;18968942
12.9.2019;53;53.33;52.065;53.01;23308710
13.9.2019;52.76;53;52.2349;52.54;18010814
16.9.2019;51.9;52.285;51.7011;52.2;13354588
17.9.2019;52.05;52.144;51.35;51.95;19888219
18.9.2019;52.13;52.13;51.16;51.74;15029864
19.9.2019;51.7;51.99;51.5;51.57;11849919
20.9.2019;51.6;51.88;50.56;50.72;38632498
23.9.2019;50.83;51.225;50.39;50.9;21574149
24.9.2019;51.1;51.18;49.64;49.82;28472934
25.9.2019;49.75;51.21;49.42;51.02;20120838
26.9.2019;50.98;51.145;50.34;50.92;11482105
27.9.2019;50.63;51.22;50.34;50.78;14846405
30.9.2019;51.19;51.595;50.9384;51.53;14059201
1.10.2019;51.97;52.24;50.43;50.76;18487336
2.10.2019;50.31;50.37;48.98;49.39;21436998
3.10.2019;49.5;50.07;48.532;50.03;17235566
4.10.2019;50.35;50.97;50.03;50.92;12748071
7.10.2019;50.7;51.23;50.56;50.62;12722054
8.10.2019;50.16;50.48;49.61;49.725;17884433
9.10.2019;50.47;50.79;50.15;50.48;12189955
10.10.2019;50.41;51.775;50.4;51.11;14611658
