date; value
26.3.2019;67.51
27.3.2019;67.35
28.3.2019;66.08
29.3.2019;67.93
1.4.2019;69.08
2.4.2019;69.68
3.4.2019;69.21
4.4.2019;69.8
5.4.2019;69.93
8.4.2019;71.12
9.4.2019;71.02
10.4.2019;71.63
11.4.2019;71.3
12.4.2019;71.57
15.4.2019;70.9
16.4.2019;70.74
17.4.2019;71.14
18.4.2019;70.71
23.4.2019;74.39
24.4.2019;73.59
25.4.2019;74.94
26.4.2019;71.03
29.4.2019;71.22
30.4.2019;72.19
1.5.2019;72.01
2.5.2019;70.56
3.5.2019;71.95
6.5.2019;71.95
7.5.2019;70.98
8.5.2019;71.09
9.5.2019;70.61
10.5.2019;71.63
13.5.2019;72.35
14.5.2019;72.53
15.5.2019;73.09
16.5.2019;74.7
17.5.2019;73.94
20.5.2019;73.21
21.5.2019;72.94
22.5.2019;71.94
23.5.2019;68.37
24.5.2019;67.98
28.5.2019;70.19
29.5.2019;70.64
30.5.2019;69.55
31.5.2019;66.78
3.6.2019;63.16
4.6.2019;63.56
5.6.2019;62.14
6.6.2019;62.77
7.6.2019;64.1
10.6.2019;64.31
11.6.2019;63.56
12.6.2019;61.66
13.6.2019;63.28
14.6.2019;63.13
17.6.2019;62.56
18.6.2019;63.35
19.6.2019;62.85
20.6.2019;65.44
21.6.2019;65.99
24.6.2019;65.16
25.6.2019;66.24
26.6.2019;66.85
27.6.2019;66.78
28.6.2019;67.52
1.7.2019;65.1
2.7.2019;62.72
3.7.2019;63.53
4.7.2019;63.62
5.7.2019;64.23
8.7.2019;64.89
9.7.2019;64.3
10.7.2019;66.41
11.7.2019;67.64
12.7.2019;66.65
15.7.2019;66.86
16.7.2019;65.87
17.7.2019;63.67
18.7.2019;60.7
19.7.2019;61.04
22.7.2019;61.96
23.7.2019;62.28
24.7.2019;63.83
25.7.2019;63.47
26.7.2019;62.46
29.7.2019;62.29
30.7.2019;62.55
31.7.2019;64.07
1.8.2019;62.9
2.8.2019;61.12
5.8.2019;59.32
6.8.2019;58.63
7.8.2019;55.03
8.8.2019;56.29
9.8.2019;57.37
12.8.2019;57.13
13.8.2019;59.9
14.8.2019;57.86
15.8.2019;57.37
16.8.2019;59
19.8.2019;59.79
20.8.2019;59.03
21.8.2019;60.6
22.8.2019;59.81
23.8.2019;58.64
26.8.2019;58.64
27.8.2019;58.44
28.8.2019;60.42
29.8.2019;60.59
30.8.2019;61.04
2.9.2019;58.55
3.9.2019;57.93
4.9.2019;60.68
5.9.2019;62.7
6.9.2019;61.28
9.9.2019;63.99
10.9.2019;64.67
11.9.2019;63.02
12.9.2019;60.76
13.9.2019;61.25
16.9.2019;68.42
17.9.2019;65.59
18.9.2019;64.29
19.9.2019;64.25
20.9.2019;65.23
23.9.2019;64.66
24.9.2019;64.13
25.9.2019;62.41
26.9.2019;62.08
27.9.2019;62.48
30.9.2019;60.99
1.10.2019;60.06
2.10.2019;57.92
3.10.2019;58.01
4.10.2019;59.13
7.10.2019;59.46
8.10.2019;58.14
9.10.2019;59.7
10.10.2019;59.08
