date;open_price_btccash;close_price_btccash;volume_btccash;market_cap_btccash
11.10.2019;230.18;222.59;1430107191;4018292195
10.10.2019;239.42;230.11;1559031120;4153494466
9.10.2019;232.55;239.44;1466835870;4321609717
8.10.2019;234.22;232.36;1430440347;4193283875
7.10.2019;223.26;234.24;1574411233;4226747948
6.10.2019;223.22;223.41;1104864272;4031015785
5.10.2019;223.13;223.17;1049368204;4026164980
4.10.2019;222.66;223.25;1186189217;4027305028
3.10.2019;225.76;222.58;1111283911;4014761921
2.10.2019;224.79;225.89;1372176230;4074135489
1.10.2019;228.26;224.76;1778003922;4053313929
30.9.2019;220.45;228.12;1646589372;4113583441
29.9.2019;228.87;220.43;1523703377;3974487247
28.9.2019;222.62;228.83;1675667458;4125600089
27.9.2019;216.02;222.56;1903875542;4012039010
26.9.2019;229.27;216.20;2113715407;3897028541
25.9.2019;222.25;229.41;2601638827;4134747962
24.9.2019;293.12;222.35;2916790532;4007054982
23.9.2019;308.22;293.07;1433579087;5280913480
22.9.2019;312.23;308.30;1324458033;5554995552
21.9.2019;315.74;312.48;1448816845;5629674071
20.9.2019;323.82;315.37;1569334925;5681164930
19.9.2019;324.63;323.70;1818328805;5830692746
18.9.2019;319.39;324.72;1773994497;5848498641
17.9.2019;307.53;319.50;1622782817;5753902077
16.9.2019;304.26;307.53;1263976388;5537680595
15.9.2019;304.60;304.23;1205048956;5477821378
14.9.2019;298.42;304.69;1269683634;5485537203
13.9.2019;300.46;298.26;1172902982;5369159540
12.9.2019;299.62;300.42;1167888639;5407536588
11.9.2019;304.24;299.81;1353292059;5396077806
10.9.2019;305.15;304.13;1274746653;5473250315
9.9.2019;307.81;305.43;1519465939;5495918099
8.9.2019;301.31;307.01;1362441598;5523893244
7.9.2019;287.74;301.15;1487255622;5418034773
6.9.2019;292.92;287.45;1449262693;5170983304
5.9.2019;295.32;292.90;1221460127;5268389506
4.9.2019;301.00;295.30;1054125848;5311159511
3.9.2019;294.02;300.86;1542378009;5410524511
2.9.2019;282.33;294.08;1306503215;5288061486
1.9.2019;279.99;282.33;1053837321;5076312771
31.8.2019;279.65;279.94;1188670880;5032832852
30.8.2019;280.76;279.87;1333960561;5031070653
29.8.2019;292.25;280.74;1515300753;5046194519
28.8.2019;308.02;292.19;1471533020;5251514387
27.8.2019;311.16;308.04;1281645070;5535810621
26.8.2019;305.32;311.12;1400335086;5590622645
25.8.2019;307.59;305.60;1156287354;5490872606
24.8.2019;316.14;307.65;1374366115;5527034123
23.8.2019;311.32;316.83;1442794558;5691438063
22.8.2019;303.08;311.33;1476522149;5592067524
21.8.2019;316.28;302.99;1452981238;5441704129
20.8.2019;325.45;316.25;1115713726;5679257104
19.8.2019;316.73;325.61;1194487698;5846759168
18.8.2019;307.29;316.51;1132352694;5682902163
17.8.2019;310.58;307.28;969169195;5516558754
16.8.2019;314.80;310.45;1466483371;5572942270
15.8.2019;312.17;314.58;2284229901;5646447971
14.8.2019;343.52;311.50;1915331290;5590600886
13.8.2019;330.25;343.68;1551260140;6167686393
12.8.2019;336.16;330.23;1150597729;5925637086
11.8.2019;315.89;336.20;1216405504;6032155088
10.8.2019;316.69;315.99;1236137481;5669016593
9.8.2019;333.68;316.62;1311332080;5679741909
8.8.2019;339.64;333.73;1206905812;5986043211
7.8.2019;333.79;339.61;1226299625;6090824526
6.8.2019;346.81;333.58;1617493636;5982117479
5.8.2019;333.69;346.76;1791977352;6217888009
4.8.2019;333.06;333.67;1364528841;5982644434
3.8.2019;326.65;332.75;1507071290;5965406241
2.8.2019;328.72;326.82;1521358677;5858646056
1.8.2019;326.59;328.76;1485593980;5892751618
31.7.2019;315.83;326.57;1647491046;5852931216
30.7.2019;307.91;315.93;1376384681;5661633809
29.7.2019;310.20;307.92;1319630375;5517534583
28.7.2019;306.50;310.46;1304270432;5562469266
27.7.2019;316.43;306.64;1529445657;5493623993
26.7.2019;302.79;316.04;1485022992;5661444258
25.7.2019;302.90;302.95;1270702881;5426343673
24.7.2019;298.14;302.85;1507512759;5424049391
23.7.2019;310.72;298.58;1465679636;5347064857
22.7.2019;321.00;310.59;1297124990;5561548261
21.7.2019;324.39;320.86;1359692581;5744869635
20.7.2019;308.38;324.20;1715437159;5804085930
19.7.2019;314.78;308.03;1455314291;5513937260
18.7.2019;291.38;315.09;1844896871;5639784558
17.7.2019;281.20;291.54;2288443142;5217863519
16.7.2019;314.86;281.71;2120520439;5041290674
15.7.2019;283.30;314.74;2464005425;5631883901
14.7.2019;344.97;282.84;1688007280;5060555564
13.7.2019;354.57;344.95;1496154286;6171207834
12.7.2019;346.55;354.46;1671307825;6340628507
11.7.2019;390.29;345.88;2535121897;6186691363
10.7.2019;416.09;390.24;1946693493;6979428054
9.7.2019;418.79;416.08;1624612090;7440740818
8.7.2019;412.12;418.63;1397264412;7485665780
7.7.2019;405.58;411.81;1334925076;7362894509
6.7.2019;400.23;405.47;1471000137;7248770123
5.7.2019;401.64;400.51;1725160159;7159550587
4.7.2019;422.81;401.69;1721585714;7179847499
3.7.2019;407.91;422.61;1887674266;7552985982
2.7.2019;416.52;407.89;2148449372;7289112276
1.7.2019;399.83;416.65;2170629296;7444877514
30.6.2019;441.96;399.47;1933402678;7137232211
29.6.2019;437.12;442.72;2131966116;7909203099
28.6.2019;413.62;436.80;2663786738;7802534342
27.6.2019;485.87;413.27;3097101870;7381521390
26.6.2019;479.79;485.57;3541460266;8671982407
25.6.2019;476.72;479.81;2225951702;8568477927
24.6.2019;475.34;476.25;1857691004;8504058846
23.6.2019;479.44;475.02;2313225132;8481134641
22.6.2019;439.69;480.17;3606842274;8572340894
21.6.2019;413.60;439.45;1846131599;7844600288
20.6.2019;416.81;413.56;1314360146;7381555720
19.6.2019;413.93;416.91;1297224300;7440639033
18.6.2019;432.02;413.94;1622477887;7386885005
17.6.2019;428.26;432.52;1454079245;7717588598
16.6.2019;422.83;428.32;1904693125;7642032028
15.6.2019;421.68;422.83;1566387915;7543301233
14.6.2019;411.89;421.29;1793749535;7515047092
13.6.2019;396.32;411.94;2044418533;7347603511
12.6.2019;388.11;396.38;1470454427;7069287863
11.6.2019;394.77;387.91;1316065000;6917539681
10.6.2019;381.06;394.58;1537080110;7035828916
9.6.2019;394.15;381.17;1326212608;6795928982
8.6.2019;401.56;394.24;1393738910;7028325633
7.6.2019;397.04;401.43;1571977471;7155833282
6.6.2019;398.07;396.93;1857674526;7074832085
5.6.2019;382.65;398.38;2659571174;7100023322
4.6.2019;408.21;382.66;2279486006;6819133358
3.6.2019;443.73;408.66;2062149881;7281637876
2.6.2019;434.72;443.77;1645915863;7906527803
1.6.2019;445.03;434.46;1774830914;7739847598
31.5.2019;424.62;445.07;2239642925;7928120027
30.5.2019;454.45;424.62;2988845095;7563129806
29.5.2019;435.01;454.12;2493988249;8087688934
28.5.2019;443.01;435.00;1995254776;7746217003
27.5.2019;432.97;443.80;2767017567;7902126191
26.5.2019;406.55;432.84;2311867234;7706274017
25.5.2019;409.21;406.74;1812156961;7240862143
24.5.2019;405.92;409.05;2441092695;7281315898
23.5.2019;391.52;405.84;2544348455;7223445689
22.5.2019;417.31;392.51;2493471577;6985412414
21.5.2019;412.52;417.55;2894337881;7430305034
20.5.2019;421.38;412.81;2932575975;7345236299
19.5.2019;357.31;421.49;3347689966;7498997884
18.5.2019;364.45;357.62;2276729590;6361880487
17.5.2019;398.68;364.85;3639603283;6489886201
16.5.2019;402.44;398.70;4522945333;7091323125
15.5.2019;389.12;402.93;3374131496;7165698706
14.5.2019;385.37;388.96;3490443261;6916566798
13.5.2019;354.03;384.48;3775372869;6836234081
12.5.2019;356.27;354.03;4136205097;6294245390
11.5.2019;287.79;356.37;3587276404;6335163786
10.5.2019;284.20;287.73;1807016333;5114440435
9.5.2019;286.47;284.19;1481835612;5050970285
8.5.2019;286.55;286.30;1423796801;5088008680
7.5.2019;287.68;286.73;1773389358;5095284367
6.5.2019;293.96;287.66;1766785841;5111287560
5.5.2019;291.35;293.95;1995769808;5222388151
4.5.2019;292.88;291.49;2665107945;5178176100
3.5.2019;270.15;293.01;2046668051;5204703336
2.5.2019;271.97;270.18;1513870927;4798658849
1.5.2019;267.99;271.82;1693067790;4827202612
30.4.2019;237.57;267.76;1761938029;4754698560
29.4.2019;255.55;236.61;1326738644;4201181991
28.4.2019;264.12;255.47;1007833364;4535543220
27.4.2019;264.09;263.94;910703481;4685455838
26.4.2019;267.19;263.88;1345116972;4683922947
25.4.2019;279.21;266.85;1229338671;4736173073
24.4.2019;290.96;278.94;1554756186;4950183725
23.4.2019;292.79;291.17;1434551201;5166782245
22.4.2019;290.34;292.81;1184945128;5195382026
21.4.2019;300.81;290.48;1279142852;5153508007
20.4.2019;306.86;300.75;1036399596;5335185126
19.4.2019;306.93;306.81;1395000142;5442073304
18.4.2019;310.87;306.96;1203614370;5444130081
17.4.2019;318.31;310.80;1373348879;5511745936
16.4.2019;314.12;318.31;1686596635;5644306278
15.4.2019;288.70;314.12;2459286061;5569511338
14.4.2019;279.41;288.65;990830744;5117349387
13.4.2019;282.68;279.47;1142074597;4954123909
12.4.2019;272.64;282.85;1458454991;5013575388
11.4.2019;305.12;272.71;1824110954;4833259697
10.4.2019;295.97;305.22;1476621660;5408935312
9.4.2019;309.95;296.04;1312902759;5245808192
8.4.2019;319.77;310.16;1918300729;5495399882
7.4.2019;305.80;319.60;2183906035;5662007844
6.4.2019;292.81;306.07;2107781161;5421896039
5.4.2019;286.64;292.64;1697395926;5183362407
4.4.2019;298.47;286.57;2803008785;5075306708
3.4.2019;236.40;298.35;4237037516;5283502610
2.4.2019;167.63;236.13;1648897519;4181200031
1.4.2019;168.90;167.63;465814641;2967829681
31.3.2019;168.64;168.94;454369901;2990730945
30.3.2019;170.30;168.59;581569997;2984272263
29.3.2019;169.35;170.45;560103605;3016920025
28.3.2019;173.10;169.45;545985641;2998993454
27.3.2019;160.51;173.18;566792974;3064635955
26.3.2019;161.39;161.44;448350663;2856498863
