Column1;Column2
26.3.2019;17
27.3.2019;19
28.3.2019;18
29.3.2019;18
30.3.2019;16
31.3.2019;15
1.4.2019;20
2.4.2019;43
3.4.2019;45
4.4.2019;34
5.4.2019;26
6.4.2019;23
7.4.2019;23
8.4.2019;28
9.4.2019;26
10.4.2019;26
11.4.2019;26
12.4.2019;23
13.4.2019;19
14.4.2019;19
15.4.2019;23
16.4.2019;23
17.4.2019;23
18.4.2019;21
19.4.2019;21
20.4.2019;21
21.4.2019;20
22.4.2019;22
23.4.2019;29
24.4.2019;25
25.4.2019;24
26.4.2019;25
27.4.2019;19
28.4.2019;18
29.4.2019;21
30.4.2019;21
1.5.2019;20
2.5.2019;21
3.5.2019;28
4.5.2019;23
5.5.2019;23
6.5.2019;24
7.5.2019;27
8.5.2019;28
9.5.2019;31
10.5.2019;34
11.5.2019;43
12.5.2019;45
13.5.2019;52
14.5.2019;60
15.5.2019;49
16.5.2019;45
17.5.2019;45
18.5.2019;34
19.5.2019;37
20.5.2019;38
21.5.2019;37
22.5.2019;34
23.5.2019;33
24.5.2019;33
25.5.2019;28
26.5.2019;30
27.5.2019;43
28.5.2019;39
29.5.2019;35
30.5.2019;37
31.5.2019;35
1.6.2019;30
2.6.2019;29
3.6.2019;31
4.6.2019;37
5.6.2019;32
6.6.2019;30
7.6.2019;30
8.6.2019;25
9.6.2019;26
10.6.2019;28
11.6.2019;28
12.6.2019;28
13.6.2019;28
14.6.2019;30
15.6.2019;29
16.6.2019;37
17.6.2019;39
18.6.2019;40
19.6.2019;34
20.6.2019;35
21.6.2019;44
22.6.2019;68
23.6.2019;48
24.6.2019;50
25.6.2019;56
26.6.2019;100
27.6.2019;83
28.6.2019;63
29.6.2019;48
30.6.2019;43
1.7.2019;48
2.7.2019;51
3.7.2019;44
4.7.2019;42
5.7.2019;38
6.7.2019;33
7.7.2019;32
8.7.2019;39
9.7.2019;45
10.7.2019;47
11.7.2019;42
12.7.2019;43
13.7.2019;35
14.7.2019;35
15.7.2019;44
16.7.2019;46
17.7.2019;46
18.7.2019;43
19.7.2019;37
20.7.2019;30
21.7.2019;30
22.7.2019;33
23.7.2019;34
24.7.2019;34
25.7.2019;33
26.7.2019;30
27.7.2019;32
28.7.2019;28
29.7.2019;32
30.7.2019;30
31.7.2019;31
1.8.2019;31
2.8.2019;32
3.8.2019;30
4.8.2019;29
5.8.2019;44
6.8.2019;43
7.8.2019;39
8.8.2019;36
9.8.2019;33
10.8.2019;30
11.8.2019;28
12.8.2019;32
13.8.2019;33
14.8.2019;35
15.8.2019;38
16.8.2019;32
17.8.2019;28
18.8.2019;27
19.8.2019;32
20.8.2019;31
21.8.2019;31
22.8.2019;30
23.8.2019;30
24.8.2019;26
25.8.2019;25
26.8.2019;30
27.8.2019;29
28.8.2019;31
29.8.2019;33
30.8.2019;28
31.8.2019;23
1.9.2019;23
2.9.2019;30
3.9.2019;32
4.9.2019;29
5.9.2019;26
6.9.2019;28
7.9.2019;24
8.9.2019;23
9.9.2019;26
10.9.2019;25
11.9.2019;25
12.9.2019;25
13.9.2019;24
14.9.2019;22
15.9.2019;21
16.9.2019;24
17.9.2019;23
18.9.2019;23
19.9.2019;25
20.9.2019;23
21.9.2019;20
22.9.2019;20
23.9.2019;25
24.9.2019;33
25.9.2019;39
26.9.2019;36
27.9.2019;33
28.9.2019;26
29.9.2019;24
30.9.2019;30
1.10.2019;29
2.10.2019;25
3.10.2019;26
4.10.2019;23
5.10.2019;22
6.10.2019;22
7.10.2019;26
8.10.2019;24
9.10.2019;25
10.10.2019;25
